# US populated places (Census Gazetteer 2023 coords + PEP 2023 population)
# population >= 1000; id = PP<7-digit GEOID>; LON,LAT order
# Generated by scripts/build_populated_places.py
id,name,lon,lat,elevation_m,state,population
PP0103076,Auburn,-85.49475,32.60781,,AL,82025
PP2707966,Brooklyn Park,-93.34909,45.11091,,MN,82017
PP0608786,Buena Park,-118.00737,33.85735,,CA,81958
PP0649670,Mountain View,-122.07927,37.39969,,CA,81785
PP1232275,Homestead,-80.44305,25.46633,,FL,81659
PP0812415,Castle Rock,-104.85292,39.37619,,CO,81415
PP1236950,Kissimmee,-81.41783,28.30278,,FL,81269
PP1207875,Boynton Beach,-80.08072,26.52833,,FL,81267
PP1342425,Johns Creek,-84.20385,34.03274,,GA,81108
PP1714351,Cicero,-87.75929,41.84454,,IL,81004
PP0660102,Redwood City,-122.21367,37.51527,,CA,80996
PP0535710,Jonesboro,-90.67903,35.81976,,AR,80650
PP0656700,Perris,-117.22217,33.78985,,CA,80603
