# US ZIP codes (Census 2023 ZCTA Gazetteer interior points)
# id = ZIP<5-digit>; LON,LAT order; territories excluded
# Generated by scripts/build_zip_codes.py
id,zip,lon,lat
ZIP02568,02568,-70.61636,41.44940
ZIP02571,02571,-70.69935,41.75143
ZIP02575,02575,-70.65645,41.39441
ZIP02576,02576,-70.76295,41.77222
ZIP02584,02584,-70.00529,41.25758
ZIP02601,02601,-70.29320,41.66116
ZIP02630,02630,-70.31249,41.70676
ZIP02631,02631,-70.06622,41.74751
ZIP02632,02632,-70.34688,41.65910
ZIP02633,02633,-69.98016,41.68736
ZIP02635,02635,-70.43940,41.62405
ZIP02637,02637,-70.27093,41.70573
ZIP02638,02638,-70.19739,41.73024
ZIP02639,02639,-70.13698,41.66807
ZIP02641,02641,-70.15539,41.75395
ZIP02642,02642,-69.97497,41.84160
ZIP02643,02643,-69.93466,41.75354
ZIP02644,02644,-70.51079,41.68349
ZIP02645,02645,-70.06166,41.70129
ZIP02646,02646,-70.07145,41.67060
ZIP02647,02647,-70.31014,41.63013
ZIP02648,02648,-70.41204,41.67037
ZIP02649,02649,-70.49271,41.61762
ZIP02650,02650,-69.96145,41.70195
ZIP02652,02652,-70.09499,42.04953
ZIP02653,02653,-69.97358,41.76913
ZIP02655,02655,-70.39201,41.62798
ZIP02657,02657,-70.20041,42.05983
ZIP02659,02659,-70.02353,41.68147
ZIP02660,02660,-70.15658,41.70853
ZIP02663,02663,-69.96991,41.89754
ZIP02664,02664,-70.19428,41.67478
ZIP02666,02666,-70.03774,41.98539
ZIP02667,02667,-70.02104,41.92339
ZIP02668,02668,-70.35600,41.71433
ZIP02670,02670,-70.17068,41.66010
ZIP02671,02671,-70.11107,41.67034
ZIP02672,02672,-70.31363,41.63570
ZIP02673,02673,-70.24738,41.65295
ZIP02675,02675,-70.23155,41.70395
ZIP02702,02702,-71.05905,41.78511
ZIP02703,02703,-71.29450,41.93165
ZIP02713,02713,-70.88566,41.42708
ZIP02715,02715,-71.15771,41.80559
ZIP02717,02717,-70.98762,41.75863
ZIP02718,02718,-71.01169,41.86249
ZIP02719,02719,-70.87136,41.63367
ZIP02720,02720,-71.10986,41.72714
ZIP02721,02721,-71.14853,41.67443
ZIP02723,02723,-71.13213,41.69221
ZIP02724,02724,-71.17789,41.68307
ZIP02725,02725,-71.18827,41.72004
ZIP02726,02726,-71.14459,41.75970
ZIP02738,02738,-70.75016,41.70616
ZIP02739,02739,-70.81588,41.66564
ZIP02740,02740,-70.93840,41.63817
ZIP02743,02743,-70.89811,41.70960
ZIP02744,02744,-70.91363,41.60625
ZIP02745,02745,-70.94706,41.70270
ZIP02746,02746,-70.94757,41.66391
ZIP02747,02747,-71.01346,41.65800
ZIP02748,02748,-70.97145,41.55308
ZIP02760,02760,-71.33437,41.97257
ZIP02762,02762,-71.33619,42.01284
ZIP02763,02763,-71.30857,41.96687
ZIP02764,02764,-71.15360,41.85193
ZIP02766,02766,-71.18178,41.96534
ZIP02767,02767,-71.04850,41.94100
ZIP02769,02769,-71.24487,41.84688
ZIP02770,02770,-70.83896,41.76086
ZIP02771,02771,-71.31805,41.83980
ZIP02777,02777,-71.21418,41.75816
ZIP02779,02779,-71.07761,41.83806
ZIP02780,02780,-71.11835,41.90911
ZIP02790,02790,-71.08237,41.59918
ZIP02791,02791,-71.08500,41.53055
ZIP02802,02802,-71.45623,41.95213
ZIP02804,02804,-71.77006,41.43303
ZIP02806,02806,-71.31968,41.73304
ZIP02807,02807,-71.57705,41.17678
ZIP02808,02808,-71.73851,41.41065
ZIP02809,02809,-71.27333,41.67573
ZIP02812,02812,-71.65817,41.47771
ZIP02813,02813,-71.66982,41.39422
ZIP02814,02814,-71.70524,41.89578
ZIP02815,02815,-71.66239,41.77859
ZIP02816,02816,-71.62266,41.69650
ZIP02817,02817,-71.65887,41.62861
ZIP02818,02818,-71.48572,41.64292
ZIP02822,02822,-71.58712,41.57531
ZIP02823,02823,-71.54367,41.73336
ZIP02824,02824,-71.56212,41.99944
ZIP02825,02825,-71.72683,41.78207
ZIP02826,02826,-71.64802,41.98704
ZIP02827,02827,-71.73912,41.69875
ZIP02828,02828,-71.56091,41.87769
ZIP02829,02829,-71.58904,41.89337
ZIP02830,02830,-71.65639,41.97562
ZIP02831,02831,-71.58491,41.74642
ZIP02832,02832,-71.72801,41.50677
ZIP02833,02833,-71.78531,41.48577
ZIP02835,02835,-71.37837,41.51009
ZIP02836,02836,-71.62023,41.45404
ZIP02837,02837,-71.16725,41.51877
ZIP02838,02838,-71.47936,41.96541
ZIP02839,02839,-71.64256,41.94513
